ticker,pricetorevenue,marketcap
A,3.479481008,14284512132
AAL,0.563737597,22810216321
AAN,0.56655814,1822029250
AAOI,1.347858527,286998459.8
AAON,3.907188372,1463444293
AAPL,2.581474419,5.77633E+11
AAT,8.204965504,2561673102
AAWW,0.578472093,1038494791
ABAX,4.941363953,1091192202
ABBV,4.098115504,99067185543
ABC,0.131462403,18807105326
ABCB,3.884344574,1131410107
ABCO,1.929775581,1527950604
ABMD,13.62445388,4711912275
ABT,2.934553101,60205615976
ACC,7.768787984,5965554375
ACET,1.152245736,645069033.8
ACGL,2.286603876,9279083376
ACHC,1.912442248,4177786698
ACHN,18.2781907,999333534.1
ACIW,2.233433333,2261210677
ACLS,0.843275581,234365491.6
ACM,0.27299031,4857355690
ACN,2.209577519,75353124685
ACOR,2.342097287,1187469556
ACRE,8.161060078,343576700
ACXM,2.089051938,1793369703
ADBE,9.327715891,49123584457
ADC,11.8214124,920753241
ADI,5.520734496,18830948603
ADP,3.524600388,40770832783
ADS,1.927303101,12881358147
ADTN,1.563792248,944173232.3
ADUS,0.726202703,261198835.8
AE,0.10827027,156828242.2
AEE,1.975454651,11900176190
AEGN,0.54950969,707426295.9
AEIS,3.790184109,1595250907
AEL,0.855986047,1422269961
AEO,0.858626357,3063383419
AEP,1.951844574,31480898051
AEPI,0.40371938,445653006.8
AET,0.655337209,40226067814
AF,3.958871705,1538792389
AFG,1.044061628,6507589903
AFH,1.312754826,220318439.9
AFL,1.441633333,28402439452
AFSI,1.00620155,4913673028
AGCO,0.571984496,4191752395
AGII,0.846251938,1250464176
AGM,2.965079845,416423239.7
AGN,7.016329845,93626244457
AGNC,18.68693906,6312332752
AGO,1.589295736,3798348434
AGTC,6.890906977,241258689.2
AHL,1.020691085,2938907118
AHP,1.141204651,390951859.5
AHT,0.32097093,589275659.6
AI,7.895230769,315756684.5
AIG,1.264897674,67546526449
AIMC,1.013208915,735181793.2
AIN,1.78644031,1290972965
AIQ,0.15875155,77608969.88
AIRM,1.201986434,1341341652
AIV,,6569077995
AIZ,0.583106977,5395897624
AJG,1.494925969,8199399031
AKAM,4.336950775,9779274612
AKR,14.19827558,2521806919
AKRX,3.204284884,3363287587
AL,2.533750388,3307968779
ALB,3.2098,8335509616
ALE,1.969244574,2876513066
ALEX,5.447716279,1860651434
ALG,0.937159302,712679650.9
ALGN,7.13147093,6620537463
ALGT,1.958389535,2536588662
ALJ,0.132875581,649865916.7
ALK,1.585927907,9036480660
ALL,0.731162791,25919162853
ALLE,2.978824031,6386522705
ALOG,1.978555039,1030708749
ALR,1.536460078,3725788201
ALSN,2.476275969,4746685136
ALX,9.481508108,2039448620
ALXN,10.94413643,30194811709
AMAG,2.082444961,937643109.7
AMAT,2.795304264,27704407791
AMBA,5.984152326,1777859012
AMCX,1.648252713,4360201595
AME,2.877906977,11275369959
AMED,1.129497674,1523837758
AMG,3.165072868,8406679496
AMGN,5.32717093,1.18371E+11
AMKR,0.553510078,1776002122
AMNB,3.713932432,233579799.3
AMP,1.406168605,16657634659
AMSF,2.739068217,1090786479
AMSWA,2.617883333,293764936
AMT,8.793919767,45240287398
AMTD,7.149026357,17372676473
