NAICS_Code,BEA_Code
211120,211
212111,212
213111,213
213112,213
221111,22
221210,22
221310,22
236115,23
236117,23
237110,23
237210,23
238210,23
311421,311FT
311611,311FT
311615,311FT
311812,311FT
311942,311FT
312111,311FT
312230,311FT
313210,313TT
314110,313TT
314999,313TT
316210,315AL
321113,321
321991,321
322121,322
322130,322
322291,322
323111,323
323117,323
324110,324
324199,324
325211,325
325411,325
325412,325
325414,325
325510,325
325520,325
325611,325
325612,325
325992,325
326113,326
326121,326
326140,326
326211,326
327213,327
327215,327
327310,327
327332,327
331210,331
331313,331
331318,331
332216,332
332311,332
332313,332
332321,332
332410,332
332431,332
332439,332
332912,332
332991,332
332994,332
333120,333
333131,333
333132,333
333244,333
333249,333
333314,333
333316,333
333318,333
333413,333
333414,333
333415,333
333517,333
333914,333
334111,334
334112,334
334210,334
334220,334
334290,334
334310,334
334412,334
334413,334
334416,334
334417,334
334510,334
334511,334
334512,334
334513,334
334514,334
334516,334
334517,334
334519,334
334614,334
335312,335
335313,335
336111,3361MV
336211,3361MV
336212,3361MV
336213,3361MV
336411,3364OT
336412,3364OT
336991,3364OT
337110,337
337122,337
337214,337
339113,339
339114,339
339920,339
339930,339
423120,42
423310,42
423430,42
423450,42
423510,42
423610,42
423690,42
423710,42
423830,42
423990,42
424210,42
424410,42
424720,42
441310,441
443142,4A0
444110,4A0
445110,445
446110,4A0
448120,4A0
448140,4A0
448210,4A0
448310,4A0
451120,4A0
452210,452
452319,452
454110,4A0
481111,481
481211,481
481219,481
482111,482
483111,483
484121,484
485310,485
486210,486
488510,487OS
492110,487OS
511110,511
511120,511
511130,511
511140,511
512110,512
515111,513
515120,513
515210,513
517311,513
517312,513
518210,514
522110,521CI
522120,521CI
522210,521CI
522220,521CI
522292,521CI
522310,521CI
522320,521CI
523110,523
523130,523
523920,523
524113,524
524114,524
524126,524
524127,524
524128,524
524210,524
525990,525
531110,531
531120,531
531190,531
532210,532RL
532282,532RL
533110,532RL
541110,5411
541330,5412OP
541380,5412OP
541511,5415
541512,5415
541611,5412OP
541612,5412OP
541713,5412OP
541810,5412OP
561320,561
561611,561
562211,562
621111,621
621399,621
621511,621
621610,621
622110,622
623110,623
624410,624
711110,711AS
711212,711AS
721110,721
812921,81
