SIC,NAICS
111,111140
112,111160
115,111150
116,111110
119,111120
119,111130
119,111150
119,111191
119,111199
131,111920
132,111910
133,111930
133,111991
134,111211
139,111199
139,111211
139,111219
139,111940
139,111992
139,111998
139,112519
161,111211
161,111219
171,111333
171,111334
172,111332
173,111335
174,111310
174,111320
175,111331
175,111339
179,111336
179,111339
181,111421
181,111422
182,111411
182,111419
191,111998
191,112519
211,112112
212,112111
213,112210
214,112410
214,112420
219,112990
241,112111
241,112120
251,112320
252,112310
253,112330
254,112340
259,112390
271,112930
272,112920
273,112511
273,112512
273,112519
279,112519
279,112910
279,112990
291,112990
711,115112
721,115112
722,115113
723,115114
723,311119
724,115111
741,541940
742,541940
751,115210
751,311611
752,115210
752,812910
761,115115
762,115116
781,541320
781,541690
782,561730
783,561730
811,111421
811,113110
831,111998
831,112519
831,113210
851,115310
912,114111
913,114112
919,111998
919,112512
919,112519
919,114112
919,114119
921,112511
921,112512
971,114210
1011,212210
1021,212230
1031,212230
1041,212221
1044,212222
1061,212230
1061,212299
1081,213114
1081,238910
1081,541360
1094,212291
1099,212299
1221,212111
1222,212112
1231,212113
1241,213113
1241,238910
1311,211120
1321,211130
1381,213111
1382,213112
1382,541360
1389,213112
1389,237120
1389,238910
1411,212311
1422,212312
1423,212313
1429,212319
1442,212321
1446,212322
1455,212324
1459,212325
1474,212391
1475,212392
1479,212393
1481,213115
1481,238910
1481,541360
1499,212319
1499,212399
1521,236115
1521,236118
1522,236116
1522,236118
1522,236220
1531,236117
1531,236118
1531,236210
1531,236220
1541,236210
1541,236220
1542,236220
1611,237310
1622,237310
1622,237990
1623,237110
1623,237120
1623,237130
1629,236210
1629,237110
1629,237120
1629,237130
1629,237990
1629,238910
1711,238210
1711,238220
1711,238910
1721,237310
1721,238320
1731,238210
1741,238140
1742,238310
1743,238310
1743,238340
1751,238130
1751,238350
1752,238310
1752,238330
1761,238160
1761,238170
1761,238390
1771,238110
1771,238140
1771,238990
1781,237110
1791,238120
1791,238190
1791,238220
1791,238310
1793,238150
1794,238910
1795,238910
1796,238220
1796,238290
1799,236220
1799,237990
1799,238150
1799,238190
1799,238290
1799,238310
1799,238320
1799,238350
1799,238390
1799,238910
1799,238990
1799,561790
1799,562910
2011,311611
2013,311612
2013,311613
2015,311615
2015,311999
2021,311512
2022,311513
2023,311511
2023,311514
2024,311520
2026,311511
2026,311514
2032,311422
2032,311999
2033,311421
2034,311211
2034,311423
2034,311999
2035,311421
2035,311941
2037,311411
2038,311412
2041,311211
2043,311230
2043,311920
2044,311212
2045,311824
2046,311221
2046,311225
2047,311111
2048,311119
2048,311611
2051,311812
2052,311812
2052,311821
2052,311919
2053,311813
2061,311314
2062,311314
2063,311313
2064,311340
2064,311352
2066,311351
2066,311352
2067,311340
2068,311911
2074,311224
2074,311225
2075,311224
2075,311225
2076,311224
2076,311225
2077,311613
2077,311710
2077,311710
2079,311224
2079,311224
2079,311225
2082,311942
2082,312120
2083,311213
2084,312130
2085,312130
2085,312140
2086,312111
2086,312112
2087,311920
2087,311930
2087,311942
2087,311999
2091,311710
2092,311710
2095,311920
2096,311919
2097,312113
2098,311824
2099,111998
2099,112519
2099,311212
2099,311340
2099,311423
2099,311824
2099,311830
2099,311911
2099,311920
2099,311941
2099,311942
2099,311991
2099,311999
2111,312230
2121,312230
2131,312230
2141,312230
2141,312230
2211,313210
2221,313210
2231,313210
2231,313310
2231,313310
2241,313220
2251,313310
2251,315110
2252,313310
2252,315110
2252,315110
2253,313310
2253,315190
2253,315190
2254,313310
2254,315190
2257,313240
2257,313310
2258,313240
2258,313310
2259,313240
2259,313240
2259,313310
2259,315190
2259,315190
2261,313310
2262,313310
2269,313310
2269,313310
2273,314110
2281,313110
2282,313110
2284,313110
2284,313310
2295,313320
2296,314994
2297,313230
2298,313110
2298,314994
2299,313110
2299,313110
2299,313110
2299,313210
2299,313220
2299,313230
2299,313310
2299,314999
2311,314999
2311,315210
2311,315220
2321,314999
2321,315210
2321,315220
2322,314999
2322,315210
2322,315220
2323,314999
2323,315210
2323,315990
2325,314999
2325,315210
2325,315220
2326,314999
2326,315210
2326,315220
2329,314999
2329,315210
2329,315220
2329,315280
2331,314999
2331,315210
2331,315240
2335,314999
2335,315210
2335,315240
2337,314999
2337,315210
2337,315240
2339,314999
2339,315210
2339,315240
2339,315280
2339,315990
2341,314999
2341,314999
2341,315210
2341,315210
2341,315220
2341,315240
2341,315240
2342,314999
2342,315210
2342,315240
2353,314999
2353,314999
2353,315210
2353,315210
2353,315990
2361,314999
2361,314999
2361,315210
2361,315210
2361,315220
2361,315240
2361,315240
2361,315240
2369,314999
2369,314999
2369,315210
2369,315210
2369,315220
2369,315220
2369,315220
2369,315220
2369,315240
2369,315240
2369,315240
2369,315240
2371,314999
2371,314999
2371,315210
2371,315210
2371,315280
2381,314999
2381,314999
2381,315210
2381,315210
2381,315990
2384,314999
2384,314999
2384,315210
2384,315210
2384,315220
2384,315240
2385,314999
2385,314999
2385,315210
2385,315210
2385,315220
2385,315220
2385,315240
2385,315240
2385,315240
2385,315280
2385,315990
2386,314999
2386,314999
2386,315210
2386,315210
2386,315280
2387,314999
2387,314999
2387,315210
2387,315210
2387,315990
2389,314999
2389,314999
2389,315210
2389,315210
2389,315240
2389,315280
2389,315990
2391,314120
2392,314120
2392,314910
2392,314999
2392,339994
2393,314910
2394,314910
2395,314999
2395,314999
2395,314999
2395,315210
2395,315210
2396,314999
2396,314999
2396,314999
2396,315210
2396,315210
2396,315990
2396,323113
2396,336360
2397,313220
2399,314999
2399,314999
2399,314999
2399,315210
2399,315210
2399,315990
2399,336360
2411,113310
2421,321113
2421,321912
2421,321918
2421,321920
2421,321999
2426,321113
2426,321912
2426,321918
2426,337215
2429,321113
2429,321920
2429,321999
2431,321911
2431,321918
2434,337110
2435,321211
2436,321212
2439,321213
2439,321214
2441,321920
2448,321920
2449,321920
2451,321991
2452,321992
2491,321114
2493,321219
2499,321920
2499,321999
2499,333415
2499,337125
2499,339113
2499,339999
2511,337122
2511,337215
2512,337121
2514,337121
2514,337124
2514,337215
2515,337121
2515,337910
2517,321999
2519,337125
2521,337211
2522,337214
2531,336360
2531,337127
2531,339940
2541,337110
2541,337127
2541,337212
2541,337215
2542,337127
2542,337215
2591,337920
2599,333249
2599,333415
2599,333994
2599,333997
2599,333999
2599,337127
2599,337127
2599,339113
2611,322110
2611,322121
2611,322122
2611,322130
2621,322121
2621,322122
2631,322130
2652,322219
2653,322211
2655,322219
2656,322219
2657,322212
2671,322220
2671,326112
2672,322220
2673,322220
2673,326111
2674,322220
2675,322220
2675,322230
2675,322299
2676,322291
2677,322230
2678,322230
2679,322211
2679,322220
2679,322230
2679,322299
2711,511110
2711,519130
2721,511120
2721,519130
2731,511130
2731,512230
2731,519130
2732,323117
2741,511120
2741,511130
2741,511140
2741,511199
2741,512230
2741,519130
2752,323111
2752,323111
2754,323111
2759,323111
2759,323111
2759,323111
2759,323111
2759,323113
2761,323111
2771,323111
2771,323111
2771,323111
2771,323111
2771,323113
2771,511191
2771,519130
2782,323111
2782,323111
2789,323120
2791,323120
2796,323120
2812,325180
2813,325120
2816,325130
2816,325180
2819,211130
2819,325130
2819,325180
2819,325998
2819,331313
2821,325211
2822,325212
2823,325220
2824,325220
2833,325411
2834,325412
2835,325412
2835,325413
2836,325414
2841,325611
2842,325612
2843,325613
2844,325611
2844,325620
2851,325510
2861,325194
2865,325110
2865,325130
2865,325194
2869,325110
2869,325120
2869,325180
2869,325193
2869,325194
2869,325199
2869,325998
2873,325311
2874,325312
2875,325314
2879,325320
2891,325520
2892,325920
2893,325910
2895,325180
2899,311942
2899,325199
2899,325510
2899,325998
2911,324110
2951,324121
2952,324122
2992,324191
2999,324199
3011,326211
3021,316210
3052,326220
3053,339991
3061,326291
3061,326299
3069,313320
3069,314910
3069,315280
3069,315990
3069,326199
3069,326299
3069,336612
3069,339113
3069,339920
3069,339930
3081,326113
3082,326121
3083,326130
3084,326122
3085,326160
3086,326140
3086,326150
3087,325991
3088,326191
3089,326121
3089,326122
3089,326199
3089,336612
3089,337215
3089,339113
3111,316110
3131,316998
3131,321999
3131,339993
3142,316210
3143,316210
3144,316210
3149,316210
3151,314999
3151,314999
3151,315210
3151,315210
3151,315990
3161,316998
3171,316992
3172,316998
3172,339910
3199,316998
3211,327211
3221,327213
3229,327212
3231,327215
3241,327310
3251,327120
3251,327331
3253,327120
3255,327120
3259,327120
3261,327110
3262,327110
3263,327110
3264,327110
3269,327110
3271,327331
3272,327332
3272,327390
3272,327999
3273,327320
3274,327410
3275,327420
3281,327991
3291,327910
3291,332999
3292,327999
3292,336340
3292,336350
3295,212324
3295,212325
3295,212393
3295,212399
3295,327992
3296,327993
3297,327120
3299,327110
3299,327420
3299,327999
3312,324199
3312,331110
3312,331221
3313,331110
3315,331222
3315,332618
3316,331221
3317,331210
3321,331511
3322,331511
3324,331512
3325,331513
3331,331410
3334,331313
3339,331410
3341,331314
3341,331420
3341,331492
3351,331420
3353,331315
3354,331318
3355,331318
3356,331491
3357,331318
3357,331420
3357,331491
3357,335921
3357,335929
3363,331523
3364,331523
3365,331524
3366,331529
3369,331529
3398,332811
3399,331110
3399,331221
3399,331314
3399,331420
3399,331492
3399,332618
3399,332813
3411,332431
3412,332439
3421,332215
3421,332216
3423,332216
3425,332216
3429,332439
3429,332510
3429,332722
3429,332919
3429,332999
3429,333923
3429,334519
3429,336390
3429,337215
3431,332999
3432,332913
3432,332919
3432,332999
3433,333414
3441,332312
3442,332321
3443,332313
3443,332410
3443,332420
3443,333415
3444,332321
3444,332322
3444,332439
3444,333415
3446,332323
3448,332311
3449,332114
3449,332312
3449,332323
3451,332721
3452,332722
3462,332111
3463,332112
3465,336370
3466,332119
3469,332119
3469,332215
3469,332439
3471,332813
3479,332812
3479,339910
3479,339910
3479,339910
3482,332992
3483,332993
3484,332994
3489,332994
3491,332911
3492,332912
3493,332613
3494,332919
3494,332999
3495,332613
3495,334519
3496,332215
3496,332618
3496,333924
3497,322220
3497,332999
3498,332996
3499,332117
3499,332439
3499,332510
3499,332919
3499,332999
3499,336360
3499,337215
3511,333611
3519,333618
3519,336390
3523,332216
3523,332323
3523,333111
3523,333922
3524,332216
3524,333112
3531,333120
3531,333923
3531,336510
3532,333131
3533,333132
3534,333921
3535,333922
3536,333923
3537,332439
3537,332999
3537,333924
3541,333517
3542,333517
3543,332999
3544,333511
3544,333514
3545,332216
3545,333515
3546,333991
3547,333519
3548,333992
3548,335311
3549,333519
3552,333249
3553,333243
3554,333243
3555,333244
3556,333241
3559,332410
3559,333111
3559,333242
3559,333249
3559,333249
3559,333318
3561,333914
3562,332991
3563,333912
3564,333413
3564,333413
3565,333993
3566,333612
3567,333994
3568,333613
3569,314999
3569,333414
3569,333999
3571,334111
3572,334112
3575,334118
3577,333316
3577,334118
3577,334418
3577,334613
3578,333316
3578,333318
3578,333318
3578,334118
3579,333318
3579,334519
3579,339940
3581,333318
3582,333318
3585,333415
3585,336390
3586,333914
3589,333318
3592,336310
3593,333995
3594,333996
3596,333997
3599,332710
3599,332813
3599,332999
3599,333318
3599,333999
3599,334519
3599,336390
3612,335311
3613,335313
3621,335312
3624,335991
3625,335314
3629,335999
3631,335220
3632,335220
3633,335220
3634,333414
3634,335210
3634,339999
3635,335210
3639,333249
3639,335210
