Ticker,BEA,NAICS,Title
A,334,334516,Computer and electronic products
AA,331,331313,Primary metals
AAL,481,481111,Air transportation
AAN,532RL,532210,Rental and leasing services and lessors of intangible assets
AAOI,334,334413,Computer and electronic products
AAON,333,333415,Machinery
AAPL,334,334111,Computer and electronic products
AAT,525,525990,"Funds, trusts, and other financial vehicles"
AAWW,481,481211,Air transportation
ABAX,334,334514,Computer and electronic products
ABBV,325,325412,Chemical products
ABC,42,424210,Wholesale trade
ABCB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
ABCO,23,236115,Construction
ABMD,332,332994,Fabricated metal products
ABT,325,325412,Chemical products
ACAD,325,325412,Chemical products
ACC,525,525990,"Funds, trusts, and other financial vehicles"
ACCL,334,334614,Computer and electronic products
ACET,42,424210,Wholesale trade
ACFN,5412OP,541330,"Miscellaneous professional, scientific, and technical services"
ACGL,524,524126,Insurance carriers and related activities
ACHC,621,621399,Ambulatory health care services
ACHN,325,325412,Chemical products
ACIW,334,334614,Computer and electronic products
ACLS,332,332410,Fabricated metal products
ACM,5412OP,541330,"Miscellaneous professional, scientific, and technical services"
ACN,311FT,312230,Food and beverage and tobacco products
ACOR,325,325414,Chemical products
ACRE,525,525990,"Funds, trusts, and other financial vehicles"
ACRX,325,325412,Chemical products
ACTG,532RL,533110,Rental and leasing services and lessors of intangible assets
ACW,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
ACXM,514,518210,"Data processing, internet publishing, and other information services"
ADBE,334,334614,Computer and electronic products
ADC,525,525990,"Funds, trusts, and other financial vehicles"
ADI,334,334413,Computer and electronic products
ADMS,325,325412,Chemical products
ADNC,334,334413,Computer and electronic products
ADP,514,518210,"Data processing, internet publishing, and other information services"
ADS,311FT,312230,Food and beverage and tobacco products
ADSK,334,334614,Computer and electronic products
ADT,561,561611,Administrative and support services
ADTN,334,334210,Computer and electronic products
ADUS,621,621610,Ambulatory health care services
ADVS,5415,541511,Computer systems design and related services
AE,42,424720,Wholesale trade
AEC,525,525990,"Funds, trusts, and other financial vehicles"
AEE,22,221111,Utilities
AEGN,23,237110,Construction
AEGR,325,325412,Chemical products
AEIS,334,334220,Computer and electronic products
AEL,524,524113,Insurance carriers and related activities
AEO,4A0,448140,Other retail
AEP,22,221111,Utilities
AEPI,326,326113,Plastics and rubber products
AERI,325,325414,Chemical products
AET,524,524114,Insurance carriers and related activities
AF,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
AFFX,334,334516,Computer and electronic products
AFG,524,524126,Insurance carriers and related activities
AFH,524,524126,Insurance carriers and related activities
AFL,524,524113,Insurance carriers and related activities
AFOP,334,334413,Computer and electronic products
AFSI,524,524126,Insurance carriers and related activities
AGCO,332,332216,Fabricated metal products
AGEN,325,325414,Chemical products
AGII,524,524127,Insurance carriers and related activities
AGIO,325,325412,Chemical products
AGM,521CI,522292,"Federal Reserve banks, credit intermediation, and related activities"
AGN,325,325412,Chemical products
AGNC,525,525990,"Funds, trusts, and other financial vehicles"
AGO,524,524126,Insurance carriers and related activities
AGTC,325,325414,Chemical products
AGYS,5415,541512,Computer systems design and related services
AHC,511,511110,"Publishing industries, except internet (includes software)"
AHL,524,524126,Insurance carriers and related activities
AHP,525,525990,"Funds, trusts, and other financial vehicles"
AHT,525,525990,"Funds, trusts, and other financial vehicles"
AI,523,523130,"Securities, commodity contracts, and investments"
AIG,524,524126,Insurance carriers and related activities
AIMC,313TT,314999,Textile mills and textile product mills
AIN,313TT,313210,Textile mills and textile product mills
AIQ,621,621511,Ambulatory health care services
AIRM,481,481211,Air transportation
AIV,525,525990,"Funds, trusts, and other financial vehicles"
AIZ,524,524113,Insurance carriers and related activities
AJG,524,524210,Insurance carriers and related activities
AKAM,311FT,312230,Food and beverage and tobacco products
AKAO,325,325412,Chemical products
AKBA,325,325412,Chemical products
AKR,525,525990,"Funds, trusts, and other financial vehicles"
AKRX,325,325412,Chemical products
AKS,324,324199,Petroleum and coal products
AL,532RL,532210,Rental and leasing services and lessors of intangible assets
ALB,325,325211,Chemical products
ALDR,325,325412,Chemical products
ALE,22,221111,Utilities
ALEX,525,525990,"Funds, trusts, and other financial vehicles"
ALG,332,332216,Fabricated metal products
ALGN,322,322291,Paper products
ALGT,481,481111,Air transportation
ALIM,325,325412,Chemical products
ALJ,324,324110,Petroleum and coal products
ALK,481,481111,Air transportation
ALKS,325,325412,Chemical products
ALL,524,524126,Insurance carriers and related activities
ALLE,561,561611,Administrative and support services
ALNY,325,325412,Chemical products
ALOG,334,334514,Computer and electronic products
ALR,325,325412,Chemical products
ALSN,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
ALTR,334,334614,Computer and electronic products
ALX,525,525990,"Funds, trusts, and other financial vehicles"
ALXN,325,325412,Chemical products
AMAG,325,325412,Chemical products
AMAT,334,334413,Computer and electronic products
AMBA,334,334413,Computer and electronic products
AMBC,524,524126,Insurance carriers and related activities
AMBR,334,334614,Computer and electronic products
AMCC,334,334413,Computer and electronic products
AMCX,513,515210,Broadcasting and telecommunications
AMD,334,334413,Computer and electronic products
AME,335,335312,"Electrical equipment, appliances, and components"
AMED,621,621610,Ambulatory health care services
AMG,523,523920,"Securities, commodity contracts, and investments"
AMGN,325,325414,Chemical products
AMKR,334,334413,Computer and electronic products
AMNB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
AMP,523,523920,"Securities, commodity contracts, and investments"
AMPE,325,325412,Chemical products
AMRE,525,525990,"Funds, trusts, and other financial vehicles"
AMRI,5412OP,541713,"Miscellaneous professional, scientific, and technical services"
AMSC,335,335312,"Electrical equipment, appliances, and components"
AMSF,524,524126,Insurance carriers and related activities
AMSG,621,621111,Ambulatory health care services
AMSWA,334,334614,Computer and electronic products
AMT,525,525990,"Funds, trusts, and other financial vehicles"
AMTD,523,523110,"Securities, commodity contracts, and investments"
AMTG,525,525990,"Funds, trusts, and other financial vehicles"
AMZN,4A0,454110,Other retail
ANAC,325,325412,Chemical products
ANAD,334,334413,Computer and electronic products
ANAT,524,524113,Insurance carriers and related activities
