ticker,NAICS
AGO,524126
AGN,325412
AGM,522292
PKY,525990
TPLM,211120
GTIV,621610
LIFE,325414
NYT,511110
ERII,332410
PRIM,237110
ERIE,524210
NRCIA,541713
BALT,483111
SPR,332912
SCLN,325412
HEI,336412
VRTX,325412
BWA,336211
SPN,213112
SPA,334412
VRTS,523920
VRTU,541511
SPG,525990
ENDP,325412
GT,326211
GS,523110
MNKD,325412
BYI,334614
MEIP,325412
BYD,721110
JNS,523920
REMY,336211
MAR,721110
MAT,339930
AMCX,515210
HIVE,541512
SNI,515210
MAA,525990
MAC,525990
ACLS,332410
JNJ,325412
AMCC,334413
SNX,423430
MAN,561320
BEN,523920
MGNX,325412
TDG,332912
EVC,515120
BEE,525990
BSRR,522110
EVR,523920
IDCC,533110
G,541611
VLO,324110
PGR,524126
BIRT,334614
LSI,525990
VLY,522110
TTI,211120
TTC,332216
PFIE,333132
GRT,525990
TPRE,524126
WSBC,522110
CEVA,334413
GRC,333914
PFIS,522110
RPTP,325412
DYAX,541713
HLX,213112
AVHI,236117
HLT,721110
NOC,334511
TXTR,334614
HLF,424210
NOV,333132
NOW,334614
CSX,482111
CTT,525990
CTS,334412
SPPI,325412
CWEI,211120
CTG,541511
LBAI,522110
CTB,326211
CCBG,522110
CTL,517311
WHG,523920
LXFT,541511
ARTC,334510
TAST,711110
ATEC,332994
BFAM,624410
OCFC,522120
V,312230
SGEN,325414
RLI,524126
NTAP,334112
EDE,221111
RLD,334220
EDR,525990
ORI,524126
EVER,522120
ORA,221111
ARCB,484121
FARO,334514
ADUS,621610
PSEM,334413
FCBC,522110
GBLI,524126
COHR,334516
FSYS,336211
ABAX,334514
COHU,334514
LF,336991
LE,448140
LB,448120
AGCO,332216
ONB,522110
LO,312230
LL,444110
LM,523920
LH,621511
PTSI,484121
LQ,522110
III,541611
A,334516
FORM,334413
KEYW,541512
ANTM,524114
HEAR,334290
NBHC,522110
FRGI,711110
SFNC,522110
CALX,485310
PNX,524113
CIEN,334210
CFG,522110
OLBK,522110
PNW,221111
PNK,721110
MRLN,522110
CALL,517311
CFX,333914
BKNG,312230
PNC,522110
RUTH,711110
CALD,541511
FIZZ,312111
UTEK,332410
TUES,452319
WCIC,236117
GM,336111
PRE,524113
HFWA,522120
PRA,524126
SAM,311942
JOY,333131
PRO,541511
PRI,524113
ASTE,333120
PRK,522110
PRU,524113
MBRG,522110
JOE,237210
RELL,423690
RCPT,325412
CHE,621610
CHFC,522110
CHK,211120
CHS,448120
MRH,524126
EGOV,312230
FELE,335312
NNBR,332991
ESNT,524126
MRC,423830
SUPX,334413
STNG,483111
AMRI,541713
BWINB,524126
AMRE,525990
AXAS,211120
BRKL,522120
BRKS,332410
BRKR,334516
APL,486210
APC,211120
ORBC,485310
APA,211120
DXPE,423830
GST,211120
QLIK,334614
SNH,525990
ADNC,334413
EWBC,522110
USMD,622110
SNV,522110
NLS,339920
AVGO,334413
RLYP,325412
NLY,525990
MYCC,481219
UCTT,334413
CNMD,334510
HMN,524126
TKR,332991
HME,525990
RPRX,325414
AFL,524113
DLB,533110
CSOD,334614
AFH,524126
PACB,334516
GCI,511110
BOBE,711110
AFG,524126
GCO,448210
DLR,525990
PAYC,334614
BTU,212111
PROV,522120
SAAS,334614
BTX,325414
SSI,448140
TIME,511120
CREE,334413
POZN,325412
DGI,485310
FRX,325412
Y,524126
WYN,721110
PGTI,332321
LNT,221111
EVDY,518210
RKUS,333316
LNN,332216
EXPO,541611
LGND,325412
IPHI,334413
LNG,221210
AREX,211120
EXPD,488510
ETFC,522120
BHGE,333132
BBG,211120
BBY,441310
CTWS,221310
BBW,451120
WAIR,423710
BBT,522110
GMED,332994
TUP,326121
CPGX,486210
VMW,334614
CLGX,518210
STMP,312230
ANSS,334614
NBIX,325414
