111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,
Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,,
63571,337,,26,6,0,1562,,,,,,,,,,,87,202357,1897,,,,,10887,,1306,140,684,219,64,,,0,,,,103,,0,,,,0,,,,23,0,,0,0,562,23,374,,201,1,76,42,1,,313,42,1703,10,12,-680,3,1288,,82142,369384
23991,5951,,35,,,,13387,2,,,,,4,5,,39,173,5674,,75,3650,20,3,351,1758,,,339,0,2,,,0,,,,3,,,,,,,,,,,,,,,168,11,1,,78,,307,175,,,160,236,5897,56,,73,29,1761,,-2848,61567
,,12887,10,1,24880,,5,2,52,3,3,,0,2,1,1,1,6,1,,5,1,212068,7561,6,24,6,9,8,26,,,,0,9,701,,5,1,0,7,1,,1,0,,,23,40,2,1,29,65,15,14,7,18,62,21,11,6,18,31,68,54,,,1039,,9467,-97463,171824
2466,1,18,7441,54,4662,14706,9,10677,15499,277,84,7,56,42,161,29,105,1502,62,2,1479,,1009,3492,129,12,1,,,4,,136,0,17,0,,4,4,7,12,200,54,8,1,0,,341,3071,410,1,0,989,59,164,52,115,,66,29,65,162,542,49,275,469,,564,,1463,3792,9164,86276
,,1874,1357,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,,,,,,,,,,,,,,,58,3,,,,,,,,,,,,,,,,,,65515,70129
4736,33,806,1107,55,2501,2950,1201,2835,4022,3592,1648,677,592,2370,984,444,617,8147,682,273,5059,741,1744,11852,3193,3928,1259,2807,1421,5303,83,95,1370,599,876,47,1220,1575,196,126,3477,873,901,494,217,6,1,77350,871,244,510,3208,4530,2290,587,11547,2362,7133,2235,988,660,2141,2555,6264,4495,1464,594,1974,23104,1658,261791,510288
2545,39,3375,1041,217,4514,196,216,292,530,647,362,209,93,729,207,84,132,1316,135,50,555,207,7339,1099,426,1198,412,474,168,1848,7,925,49,197,847,972,2201,180,33,32,2651,260,2583,270,49,12,73015,65980,238,63,30,652,834,493,42,496,531,1117,463,382,128,308,785,1177,3897,4181,2086,2009,24721,43445,1260779,1529777
808,221,,52,27,1,33575,22093,356,380,271,822,228,315,2938,213,6858,960,475,66,4,5300,6,0,387,1403,2422,134,564,154,1176,0,1441,,143,,6,161,69,62,101,685,1777,75,2,32,,2710,1493,1777,6,8,676,6,774,43,111,286,252,8,622,17,283,579,3328,295,40,41,6,3977,150,-2533,101716
8,30,182,277,123,67,52860,1005,14069,2485,1534,1918,405,1266,6459,471,288,634,5292,143,,304,2,445,1904,1846,220,212,70,68,604,1,15,,40,2,3,52,33,4,3,1536,1267,35,9,19,,711,36,503,11,43,3740,99,959,95,168,1451,1410,189,277,27,270,65,4960,1036,45,199,,1571,1914,-2810,115179
127,0,1084,466,224,3,5934,386,774,61287,72371,28568,6013,17428,34631,11582,3409,7993,5558,198,,529,16,77,294,1672,999,9,0,0,1904,0,1198,,,,,130,,11,20,496,417,,,4,,41,2161,1139,0,6,2262,61,317,758,84,147,76,17,175,29,375,24,473,613,154,257,,288,734,-35129,240873
2810,156,1201,554,150,182,69754,2622,2492,3807,40396,26951,7292,7009,37275,13016,3098,4185,16288,642,197,4721,1111,172,7613,7008,1378,419,130,48,1640,427,302,1484,2594,264,1068,1259,390,485,25,12877,1956,96,29,87,11,1109,512,1887,65,718,4973,1052,2584,2329,362,378,683,32,1173,68,750,777,7713,4279,7406,676,397,4158,3982,5098,340834
3308,184,3540,4765,2012,1532,27343,554,452,2462,5721,38337,635,2214,24777,5246,135,1371,4021,42,5,1673,1526,49,3906,2355,1602,248,118,63,750,7,96,21,500,56,155,1361,746,68,48,1263,577,11,19,31,0,452,1557,992,40,626,2775,227,5255,4224,2723,471,577,168,101,21,181,78,1780,4764,770,88,74,4005,1470,190122,369445
23,1,6,16,130,86,6544,755,1011,1364,4550,8320,42060,3404,20155,25108,1049,2217,2736,563,108,2719,1020,103,3948,2270,6369,591,254,83,1331,9,94,3,273,7,18,40,97,1929,378,59290,5469,2673,904,89,446,59,129,325,814,4374,9786,7309,4140,1047,830,2648,469,207,236,32,175,290,635,5382,27855,1272,1,2536,1980,53192,336337
489,166,18,19,21,20,33361,1013,173,1453,2974,13483,3273,7202,4914,2814,119,875,1236,75,11,515,130,36,869,1055,302,85,49,356,369,5,194,46,223,53,7,156,292,2,0,3996,443,57,22,57,,386,303,604,409,672,4753,170,2217,775,755,25,377,562,239,39,301,457,2199,2266,915,735,55,1864,1329,10015,115452
1165,92,107,431,73,28,9084,695,467,491,1159,9959,610,313,191781,5142,341,394,2373,73,5,797,149,57,881,509,3383,7294,1068,37,3803,1,97,1,8420,386,1,1427,614,210,17,955,71,222,116,61,,0,176,1103,1,19,2970,857,5037,2063,1172,341,559,94,896,154,89,102,1144,16598,5006,69,1258,8632,281,413773,717756
,3,,8,,0,11,36,,,34,125,,,276,61764,,,,,,,,,,,10,1,,,,1726,1515,235,3,27,,1479,,,,2,,,,1,,,,4,,,2375,198,34,19,0,,,,1,,8,,,12,45895,335,78,6,56,161447,277725
1,,,,,,11672,202,2,,0,422,258,3,476,42,5464,333,,,,2,0,,,414,727,183,,0,836,0,,1,,,,5,,4,,125,698,,,,,4637,49,363,38,6,363,6,12,,1,201,42,2,128,492,417,4,1268,154,,0,151,16,28,44315,74565
260,4,4,19,4,0,800,19,141,18,41,2048,2,321,1470,63,9,6099,32,180,311,1,8,3,637,57,463,108,118,3,441,1,2,,7,4,1,193,107,4,2,113,156,195,50,35,0,12,66,114,16,27,2050,23,1420,524,381,18317,18133,1667,890,72,335,224,664,1313,145,239,0,4700,69,90160,156118
29585,138,,,,,,16,71,3,,,,,,,,11,178865,18,1054,465,526,120,4559,60,1262,2,3044,846,1031,98,,55,,,,41,,10,16,,4,,,,,,,,,,1321,135,1,,9222,14,11084,6489,4835,1002,4766,10246,85082,1189,1921,-265,1325,42954,,539655,942875
200,36,,1,,,1955,521,322,,0,1029,3,4,4561,1031,2157,1572,116,7745,5557,2660,318,24,5,2557,614,47,97,2383,1692,0,,124,8,,1,48,4,5,46,8,23,0,5,9,,68,28,215,,,331,8,143,59,26,36,647,843,294,1,415,443,389,827,594,149,2,1054,5,8559,52627
73,,,,,12,,1,0,,,,17,,1873,,,78,13,1622,3462,,2615,52,,0,559,402,24,302,742,,,,,,,0,,0,2,490,4,58,,,,,,401,,,35,5,339,127,14,191,209,,569,51,20,10,79,1703,391,28,79,3262,15,36762,56692
599,1,11,100,16,38,3156,534,1230,1019,2470,1775,657,894,2656,864,1162,1689,21668,429,92,39269,5968,104,4927,5042,2823,152,1127,317,1996,53,42,18,204,61,44,1843,232,937,98,476,260,704,148,281,8,79,229,517,277,190,3776,569,2953,314,372,1546,2069,649,365,168,229,1837,3075,1084,155,728,98,8262,14,27653,165400
38,0,2,3,,3,36,11,,0,2,17,0,5,5,,,0,305,,134,,1286,2,558,,3883,163,174,33,5450,,18,,193,38,5,84,10,7721,301,394,1643,291,2678,2179,,0,19,245,639,149,5561,960,2383,28,869,1544,1865,145,657,794,211,649,766,1541,633,852,184,7970,173,4591,61097
10373,200,574,1815,466,8715,33377,411,533,928,704,1395,173,705,449,342,215,398,2488,90,22,1442,1190,9230,6703,953,1524,358,278,113,1255,23196,4036,3425,29757,2431,126,4798,459,72,19,319,162,1068,88,18,12,297,1353,754,51,182,975,817,4867,1224,682,587,2652,718,391,148,684,572,1539,1918,11724,694,1352,47758,7149,161215,407705
14559,765,2286,1344,536,1714,9662,2195,4969,1151,9450,4724,3105,2154,7667,1849,1688,5021,7100,9587,392,10928,4876,3474,175355,56439,1339,129,94,13,798,4,231,8,290,15,5,584,121,228,45,2515,464,102,37,57,1,189,5319,423,83,72,12971,3757,5775,1634,935,36049,27275,3328,463,322,1558,137,2022,4763,1551,1518,74,21320,2484,291119,775213
2221,82,14,611,75,33,21908,590,1006,541,2494,7338,1658,1338,22842,3431,4718,4078,20336,426,96,2545,555,123,10009,18326,6111,1585,1704,285,4377,4,10,1,1456,38,149,3941,335,255,69,3613,486,47,58,687,2,445,569,1649,81,307,5161,194,2135,338,1174,6768,4347,1592,775,68,340,150,8367,5098,1410,350,41,7790,1700,19794,223249
24216,988,1584,2786,693,3777,59704,7102,4654,15805,14951,23583,11446,7684,47298,11298,4804,6581,60808,3131,2766,10139,2391,9065,32055,10821,36220,3357,2027,1667,22595,2932,3080,2440,14623,1236,252,5136,719,13025,142,14606,2765,1267,637,447,145,1604,1824,10010,501,1312,11805,2617,8277,2429,4013,18899,17024,3318,2049,539,2498,3249,21840,9403,11429,1615,1261,25313,4434,856475,1533184
13,1,16,75,20,12,3947,132,186,99,316,1822,101,1,1644,905,109,173,940,31,2,284,58,0,390,166,290,3040,441,14,1496,0,18,0,2834,10,1,423,70,73,6,184,9,89,55,47,,30,264,394,0,6,534,,1026,70,0,0,0,0,0,5,16,21,51,6229,0,0,0,0,2,166483,195678
